"m","p","n","runs","s","q","cd2_canonical","cd2_opt"
3,2,1,8,7,2,0.557841191940755,0.557841191940755
3,2,2,8,7,4,0.462772623307271,0.401129362641082
4,2,1,16,15,2,1.37798781776944,1.37798781776944
4,2,2,16,35,4,19.9180571551328,11.1508994180547
4,2,3,16,15,8,1.67414787359394,0.946868209903799
2,3,1,9,4,3,0.223737788605152,0.222180690992216
3,3,1,27,13,3,0.652362234078412,0.630785424310615
3,3,2,27,13,9,0.92465177462039,0.515518636504112
2,5,1,25,6,5,0.191939534777668,0.187521476122462
